"","Year","ST","MWh","Carbon","Carbon Intensity"
"123",1992,"MD",41177359,26261690,0.64
"124",1992,"ME",15683544,4732587,0.3
"125",1992,"MI",95321939,68608906,0.72
"126",1992,"MN",40258884,31201095,0.78
"127",1992,"MO",56951673,47483961,0.83
"128",1992,"MS",23134963,12034879,0.52
"129",1992,"MT",25899645,18449816,0.71
"130",1992,"NC",89535255,57164897,0.64
"131",1992,"ND",28766897,30133046,1.05
"132",1992,"NE",22425498,13313913,0.59
"133",1992,"NH",15117253,4509273,0.3
"134",1992,"NJ",43664014,15512321,0.36
"135",1992,"NM",28069438,27418019,0.98
"136",1992,"NV",23347543,18569114,0.8
"137",1992,"NY",125948924,60067229,0.48
"138",1992,"OH",137661728,115123382,0.84
"139",1992,"OK",50006448,40163623,0.8
"140",1992,"OR",42345374,4906170,0.12
"141",1992,"PA",179405645,108438142,0.6
"142",1992,"RI",4785205,2324958,0.49
"143",1992,"SC",74170509,23235745,0.31
"144",1992,"SD",6246414,2807813,0.45
"145",1992,"TN",77748112,52814760,0.68
"146",1992,"TX",290292313,211306176,0.73
"147",1992,"UT",33237139,29922294,0.9
"148",1992,"VA",56352354,32495867,0.58
"149",1992,"VT",4870142,45893,0.01
"150",1992,"WA",86482429,11306161,0.13
"151",1992,"WI",48893401,38003606,0.78
"152",1992,"WV",75159914,68901083,0.92
"153",1992,"WY",42473894,44103114,1.04
"154",1993,"AK",5721277,4042337,0.71
"155",1993,"AL",99336996,66833067,0.67
"156",1993,"AR",40498654,21753790,0.54
"157",1993,"AZ",68468986,37628746,0.55
"158",1993,"CA",186990642,54453207,0.29
"159",1993,"CO",34240183,32496802,0.95
"160",1993,"CT",32884571,8632695,0.26
"161",1993,"DC",188452,225379,1.2
"162",1993,"DE",9017680,8933601,0.99
"163",1993,"FL",151934156,100571022,0.66
"164",1993,"GA",101447571,64342269,0.63
"165",1993,"HI",9943687,7770495,0.78
"166",1993,"IA",32049013,32348095,1.01
"167",1993,"ID",10533433,705842,0.07
"168",1993,"IL",143453091,70043871,0.49
"169",1993,"IN",103635138,100580831,0.97
"170",1993,"KS",36742567,30332819,0.83
"171",1993,"KY",84997718,77072488,0.91
"172",1993,"LA",78975535,48940387,0.62
"173",1993,"MA",37079208,24698273,0.67
"174",1993,"MD",44977888,28633539,0.64
"175",1993,"ME",15614272,4703721,0.3
"176",1993,"MI",106368549,69774793,0.66
"177",1993,"MN",44040635,33332651,0.76
"178",1993,"MO",53552969,43192898,0.81
"179",1993,"MS",25941526,15073971,0.58
"180",1993,"MT",23872854,15141991,0.63
"181",1993,"NC",95314444,61925409,0.65
"182",1993,"ND",28663410,30446443,1.06
"183",1993,"NE",22760857,15699003,0.69
"184",1993,"NH",16242760,4666455,0.29
"185",1993,"NJ",48344882,16170158,0.33
"186",1993,"NM",28744528,27924222,0.97
"187",1993,"NV",23502472,18189579,0.77
"188",1993,"NY",124221031,53612658,0.43
"189",1993,"OH",135237292,118767037,0.88
"190",1993,"OK",53159673,42104000,0.79
"191",1993,"OR",41909585,4712201,0.11
"192",1993,"PA",181214132,112189667,0.62
"193",1993,"RI",4665296,2178511,0.47
"194",1993,"SC",78174835,26383432,0.34
"195",1993,"SD",5255511,2814491,0.54
"196",1993,"TN",73884199,61217375,0.83
"197",1993,"TX",299688715,227087867,0.76
"198",1993,"UT",34058102,30694042,0.9
"199",1993,"VA",61243510,37069143,0.61
"200",1993,"VT",4643765,21933,0
"201",1993,"WA",87995776,11142703,0.13
"202",1993,"WI",50238552,39404534,0.78
"203",1993,"WV",74749164,68542464,0.92
"204",1993,"WY",40771354,41829693,1.03
"205",1994,"AK",5966516,4110851,0.69
"206",1994,"AL",100764257,63295247,0.63
"207",1994,"AR",42032148,24147764,0.57
"208",1994,"AZ",71934496,39019080,0.54
